,Model,AmazonCounterfactualClassification,ArXivHierarchicalClusteringP2P,ArXivHierarchicalClusteringS2S,ArguAna,AskUbuntuDupQuestions,Banking77Classification,BiorxivClusteringP2P.v2,CQADupstackGamingRetrieval,CQADupstackUnixRetrieval,ClimateFEVERHardNegatives,FiQA2018,HotpotQAHardNegatives,ImdbClassification,MTOPDomainClassification,MassiveIntentClassification,MassiveScenarioClassification,MedrxivClusteringP2P.v2,MedrxivClusteringS2S.v2,MindSmallReranking,SCIDOCS,SICK-R,STS12,STS13,STS14,STS15,STS17,STS22.v2,STSBenchmark,SprintDuplicateQuestions,StackExchangeClustering.v2,StackExchangeClusteringP2P.v2,SummEvalSummarization.v2,TRECCOVID,Touche2020Retrieval.v3,ToxicConversationsClassification,TweetSentimentExtractionClassification,TwentyNewsgroupsClustering.v2,TwitterSemEval2015,TwitterURLCorpus
0,Linq-Embed-Mistral,85.5821,63.3776,62.165000000000006,69.649,66.82016765243456,87.88311688311688,45.8864,64.364,49.39,30.324,61.205,75.411,94.7764,96.16544999999999,81.73575,82.87169999999999,40.9949,40.367399999999996,32.05750522793288,21.932,84.30523596401186,78.44413657529002,88.26850223126127,84.49441798385489,90.27866978947013,92.68185242943188,68.5546,88.80650007123052,96.27527798658713,72.16590000000001,50.317299999999996,37.262,87.09700000000001,54.473000000000006,71.2938,64.7623089983022,57.2573,81.51817015121485,87.51158697451964
1,stella_en_400M_v5,93.79850746268656,63.92483709906334,60.81704622679586,60.9,66.15294503553424,89.30194805194806,54.1196547218052,57.02,41.806,32.104,56.056,57.778,96.4904,98.3846,80.97565852737166,89.0911,49.585183072117765,46.9839,33.0526129239962,23.224,81.4748469518998,81.33552823557412,88.63998125652698,84.7722847346502,90.22928378885277,90.53130748479374,67.45660575771218,87.63996146760704,95.6075961598125,77.57900851574055,53.822199999999995,34.5306,76.64800000000001,49.827,83.9697265625,73.57668364459535,54.4003,80.18603932881858,85.70698982748502
2,gte-Qwen2-7B-instruct,89.93283582089553,68.1929207141039,64.84694347666395,54.565,67.57827065898053,87.56818181818181,53.24389713638713,59.584,43.849,32.204,62.031000000000006,75.003,96.75399999999999,98.97085,85.55660617961007,89.2724,49.03002986636611,47.4772,33.35680810650402,23.48,79.15962683643262,79.52565322917206,88.96943154592363,83.86537189895273,88.48375378824065,88.75116705677044,67.25639504209539,86.81105691398511,93.1413954543224,80.26367734971261,54.3527,35.735299999999995,80.374,59.216,85.7373046875,72.58347481607245,54.3167,77.96520460741593,86.60659275450581
3,e5-mistral-7b-instruct,75.19402985074628,65.2837349991313,61.2781226957918,61.653000000000006,66.97991401600184,81.41233766233768,42.43994588820838,63.52100000000001,46.753,28.499000000000002,56.81,73.207,94.7276,95.23129420333764,77.15011489971621,78.78168590813777,39.04746182823812,37.82157839672135,32.589069634457395,16.314999999999998,82.64168405010996,79.65304787099163,88.42693188284633,84.53916226397308,90.42497351106816,91.75837815513191,67.28764744648434,88.59956806069064,95.86143310549286,64.32871212725469,48.06904508014866,36.569625905882816,87.034,55.437999999999995,71.748046875,64.89247311827957,53.28097114789199,81.6186366421062,87.78798304575807
4,stella_en_1.5B_v5,94.08955223880598,64.52339106857525,61.313064241189075,57.06,67.32597152838535,89.78896103896105,52.384364299338145,53.59,29.026000000000003,28.463,60.480000000000004,70.182,96.6608,98.60365,84.52872426747501,89.26035,47.2296865252186,45.498,33.05449204940555,26.769,82.40165924558951,78.55520488226414,88.62429790970509,83.31890044293463,88.50644215638907,90.45254463147869,66.98961019421252,87.4855111372355,96.11373611590402,76.04248089768724,53.3069,36.9114,83.842,36.401,86.7626953125,74.8443689869836,56.1492,80.57982723880139,87.36525428661075
5,gte-Qwen2-1.5B-instruct,85.44030000000001,64.7434,63.217999999999996,69.72,64.55292107723382,87.30844155844156,45.8146,61.305,44.962999999999994,13.155,54.701,70.403,95.8336,97.40395,81.52085,83.10555,43.0505,41.0793,33.94151656057482,24.976000000000003,80.49030614009419,77.25370084896514,87.79454220555091,82.91015471820322,88.45414278092397,90.32542469203855,66.9215,86.37572865993327,95.3203137438653,69.32549999999999,51.135,33.9393,85.382,50.002,82.66099999999999,72.94567062818335,49.967299999999994,79.64487116574168,87.58146137353202
6,gte-Qwen1.5-7B-instruct,82.81345,67.25999999999999,63.9121,62.644999999999996,66.00208703259058,81.67857142857142,55.757,47.823,44.086,40.149,55.311,68.451,95.58120000000001,95.12625,79.01774999999999,77.73265,49.515,46.7306,32.70743071063257,27.694000000000003,79.14737320486729,76.52178073172526,88.62720469210905,83.32346434965837,87.50432670473445,87.78994504115502,67.1032,87.35031011815016,96.06741547889861,80.5959,55.0899,36.2434,72.72,53.786,78.75399999999999,66.00452744765137,68.40859999999999,79.35792655436586,86.7900899669397
7,GIST-large-Embedding-v0,75.3582,59.798300000000005,58.965500000000006,63.38,64.70120072857361,88.10064935064933,42.3635,60.672000000000004,43.976,33.933,44.302,70.902,91.23440000000001,95.06330000000001,74.36890000000001,77.19115,37.9457,36.0938,32.82488548405117,24.062,82.79782085421951,77.12670500926937,89.28563503553643,83.8288465070091,89.69728364350713,89.66118745178284,70.0997,88.30389489193672,96.54495433438355,60.403600000000004,41.8392,31.515300000000003,69.12700000000001,48.559000000000005,71.86240000000001,59.17374080362195,53.2845,77.59606075943269,85.9613736469497
8,mxbai-embed-large-v1,74.6865671641791,60.10625739174296,58.993897366368074,65.469,63.489700000000006,87.7987,41.87022064365139,58.94200000000001,41.772999999999996,36.225,45.269999999999996,72.503,92.8324,93.9611,76.76990550337719,79.988,37.269967546926125,34.968988572282775,32.6195,23.101,82.77671230423026,79.0687249451691,89.79451553480632,85.21908733722553,89.34383375203599,89.20909866806481,69.04364191808922,89.28960362631743,96.81663100569824,55.0802570899201,40.465001207381015,32.6324,75.53,48.602000000000004,67.314453125,59.7029,51.10890076508168,78.5547,86.2275892878467
9,UAE-Large-V1,75.15671641791045,59.37910271512732,60.51344629594087,66.14999999999999,64.19590406875427,87.69155844155844,41.7929,57.193000000000005,40.873,38.728,44.836,73.947,92.7796,93.99735,76.81196538222225,79.7775,36.881960638412295,34.9983,32.51125957874274,22.980999999999998,82.62331465639475,79.09144554302442,89.6171319711762,85.01783656853793,89.50909892872387,88.99349064256742,69.24564313604081,89.06081794905042,97.236958456951,57.21976219782328,41.8376,30.128,76.271,49.614000000000004,66.8896484375,59.745331069609506,50.2854,78.16796549696478,86.33025598681033
