,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Classification,Clustering,Pair Classification,Reranking,Retrieval,STS,Summarization
0,1,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),⚠️,7B,4096,32768,68.94,64.84,83.13,54.07,88.44,49.44,57.09,84.48,37.26
1,2,[stella_en_400M_v5](https://huggingface.co/dunzhang/stella_en_400M_v5),⚠️,435M,4096,8192,68.96,64.54,88.2,57.65,87.17,49.6,50.6,84.01,34.53
2,3,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️,7B,3584,131072,69.89,65.24,88.3,58.97,85.9,50.47,54.48,82.85,35.74
3,4,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),✅,7B,4096,32768,67.04,63.52,79.89,51.44,88.42,49.78,54.36,84.17,36.57
4,5,[stella_en_1.5B_v5](https://huggingface.co/dunzhang/stella_en_1.5B_v5),⚠️,1B,8960,131072,68.83,64.9,89.32,57.06,88.02,50.19,49.53,83.29,36.91
5,6,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️,1B,8960,131072,67.81,63.62,85.78,53.54,87.52,49.25,52.73,82.57,33.94
6,7,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️,7B,4096,32768,68.49,64.38,82.09,60.91,87.41,49.35,52.52,82.17,36.24
7,8,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),⚠️,335M,1024,512,65.18,61.39,79.04,48.84,86.7,48.76,50.99,83.85,31.52
8,9,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),⚠️,335M,1024,512,65.24,61.52,79.13,47.48,87.2,48.05,51.93,84.22,32.63
9,10,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),✅,335M,1024,512,65.34,61.3,79.11,47.86,87.25,48.35,52.29,84.14,30.13
10,11,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),⚠️,109M,768,512,64.37,60.78,78.19,48.5,86.33,47.52,49.82,82.77,32.32
11,12,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),✅,335M,1024,512,64.88,61.35,78.42,48.01,87.13,48.26,51.91,82.56,33.13
12,13,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),✅,560M,1024,514,64.7,60.81,75.52,49.89,86.24,48.74,51,84.38,29.89
13,14,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),⚠️,33M,384,512,63.62,60.07,78.22,47.98,84.78,47.35,48.05,82.28,31.81
14,15,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️,33M,384,512,,,,47.95,85.06,47.02,49.9,82.2,31.31
15,16,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️,335M,1024,512,63.66,60.28,75.57,48.2,85.08,47.84,49.77,82.6,32.9
16,17,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),✅,109M,768,512,64.04,60.19,77.68,47.42,86.56,46.66,51.27,81.51,30.19
17,18,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),⚠️,559M,1024,514,62.92,59.76,77.2,46.53,85.62,46.25,43.97,85.76,32.95
18,19,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),⚠️,559M,1024,514,62.11,59.54,79.68,48.3,85.56,47.63,39.95,81.63,34.07
19,20,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️,109M,768,512,62.82,59.36,75.06,47.74,84.68,47.17,48.5,81.49,30.9
20,21,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),⚠️,434M,1024,514,61.72,59.37,79.67,47.89,85.2,47.56,38.76,81.52,34.97
21,22,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),⚠️,494M,896,131072,63.02,57.91,77.49,45.37,84.2,46.09,50.78,81.66,19.81
22,23,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),✅,33M,512,512,63.25,59.38,76.59,47.02,84.95,46.94,50.26,80.97,28.92
23,24,[e5-large](https://huggingface.co/intfloat/e5-large),✅,335M,1024,512,62.49,59.37,75.68,45.88,85.94,45.43,47.72,81.65,33.26
24,25,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️,33M,384,512,62.11,58.69,74.86,47.36,83.66,46.96,46.74,81.1,30.14
25,26,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️,7B,Unknown,32768,59.95,56.64,76.24,42.27,88.32,50.29,36.74,84.43,18.16
26,27,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),⚠️,278M,768,514,60.83,58.22,77.86,47.11,84.88,46.4,38.04,81.39,31.87
27,28,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),⚠️,494M,896,131072,62.45,55.98,82.91,44.31,84.04,45.87,46.17,81.41,7.14
28,29,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),⚠️,124M,768,514,60.58,57.91,77.64,46.26,84.54,46.69,37.98,81.45,30.83
29,30,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),⚠️,22M,384,512,61.23,57.72,75.51,46.23,83.39,47.14,44.37,80.4,27
30,31,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),✅,335M,1024,514,61.75,58.81,76.46,45.23,86.06,45.72,45.57,80.31,32.34
31,32,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),✅,305M,1024,8192,,,,45.95,84.25,46.81,46.21,81.95,24.75
32,33,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),✅,109M,768,512,61.61,58.86,75.48,45.2,85.63,45.13,45.74,80.55,34.26
33,34,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),✅,568M,1024,8192,62.24,59.09,73.24,44.37,83,47.47,54.82,76.9,33.83
34,35,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),⚠️,278M,768,514,60.63,57.41,75.81,44.6,85.01,45.47,41.07,82.25,27.64
35,36,[e5-base](https://huggingface.co/intfloat/e5-base),✅,109M,768,512,61.23,58.39,75.21,43.77,85.08,44.86,46.27,80.15,33.38
36,37,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️,559M,1024,514,60.78,58.11,75.43,42.68,84.46,45.01,45.77,79.53,33.91
